word,length,q,rho_ratio_lower,rho_ratio_upper,delta_lower_nats,delta_upper_nats,states,reachable
13,2,16,1094048178231829571479179352109/1083469681485880625000000000000,500324734923217937771275032711/495487028791429659951804342620,0.009716182046280827,0.009716182046282463,64,40
14,2,9,1235908899635498898522794720143/1223179934502925375000000000000,740704379764556551730723624216/733075661963147747524498794835,0.010352679126002617,0.010352679126004118,36,26
14,2,11,121923937867710607650733321643/120665508338252375000000000000,1972405594485050824744670008143/1952047545954317253008590750679,0.010375066495618782,0.010375066495620418,44,31
14,2,16,2470566827952481500081093195569/2445742811201117250000000000000,877730069085743507481038088668/868910722168412251276458020575,0.010098724264569551,0.010098724264570940,64,40
15,2,9,231436729500546690736249471/229053099455900000000000000,1995298455187537807563590703291/1974748331807871473797547198302,0.010352677449525261,0.010352677449526474,36,26
15,2,11,1225959665084786000085892334039/1213306006815125000000000000000,1977103377995862955353109708557/1956696841613423813310529908308,0.010375066496984084,0.010375066496985561,44,31
15,2,16,478378724424172692469211848229/473393665571423375000000000000,2220246234995733793901911044128/2197109633002463661009021392853,0.010475413010615008,0.010475413010616449,64,40
16,2,9,327808094078177038124035295651/324431909046486750000000000000,782409695490015998882474529608/774351444488034321590076337883,0.010352677449525103,0.010352677449526781,36,26
16,2,11,360353426197096155137450949503/356630019501220750000000000000,549731621528731636057923708381/544051435767391483148499923830,0.010386404848747777,0.010386404848749624,44,31
16,2,16,369281822779752190008790976213/365440891503593750000000000000,1866199788116399729928059952118/1846789287269698414566682327409,0.010455553345116472,0.010455553345118308,64,40
17,2,9,243718469361854023516081580151/241208346326242000000000000000,1768483054658844221221219185657/1750268964995418789147786037883,0.010352677449521889,0.010352677449524073,36,26
17,2,11,235514624394890645682800213997/233083773578511625000000000000,2199223481683297934501695021539/2176524321452434467832506873614,0.010375078668822002,0.010375078668824913,44,31
17,2,16,3805334728964952272099984261/3765758141685812000000000000,2224361037201923800776149188624/2201227035859259220345490001255,0.010454751628973668,0.010454751628976348,64,40
18,2,9,479475099823272954417565676531/474478940414090000000000000000,64439789860859977732929430840/63768323370612948216024300661,0.010474729137656402,0.010474729137658669,36,26
18,2,11,125117659097272581290625527851/123826268235949750000000000000,2204288752883079820702457662852/2181537381320275573742757489727,0.010375046775261865,0.010375046775263380,44,31
18,2,16,2212087463818029314803463892283/2189768350549838750000000000000,2224268826831632896881290602088/2201826808287175129177703940679,0.010140861254181457,0.010140861254182733,64,40
19,2,9,2968227082840261243444068343/2937656926422800000000000000,2222113531334050618908482181218/2199227695333508176070820723515,0.010352532964947853,0.010352532964949636,36,26
19,2,11,2451416574098540398173951909409/2428478066874240250000000000000,1100694746067924662805662495663/1090395274875960202273784889870,0.009401299766613964,0.009401299766615394,44,31
19,2,16,488129767931603474149577114467/483543282755423500000000000000,2189961612467825811913862120033/2169384652954476761772494801499,0.009440457849563405,0.009440457849565479,64,40
20,2,9,16820186754774185811353239561/16646951060540900000000000000,2222082603782494218276132799952/2199196768558290142812359307725,0.010352677449748562,0.010352677449752189,36,26
20,2,11,76523026008811574496358626313/75806981252790554687500000000,123553477189006955099342208206/122397356945942129061772553449,0.009401299754656233,0.009401299754657528,44,31
20,2,16,959511088076489199429722472421/950172471104188750000000000000,1997507419446430700275748966474/1978066313531816400280385622517,0.009780354832089601,0.009780354832091355,64,40
21,2,9,16319710590176732109297115081/16151629409486750000000000000,226815043289333671833012242542/224479012876068281405432580651,0.010352679125999649,0.010352679126005522,36,26
21,2,11,834435102238240806526859390121/825822537774752500000000000000,11224197286051645655521076395/11108347506460927296115558441,0.010375066510068425,0.010375066510071495,44,31
21,2,16,369324286084844718549884239513/365483206157949437500000000000,1960420634746179538320852834155/1940031690308699847437054335197,0.010454751628974922,0.010454751628976175,64,40
22,2,9,85014183587063625000000000000/84222433517415827576513277191,56285875043887211422832440763/55761676097242581250000000000,0.009356791214951942,0.009356791214953427,36,26
22,2,11,14180840885358210937500000000/14049528648359678397451777343,34771805963644663218053423493/34449824801703816406250000000,0.009302973089211442,0.009302973089213098,44,31
22,2,16,28206625022204625000000000000/27940974803892590192407592257,12988343073960868014364535481/12866018755812409375000000000,0.009462637810298876,0.009462637810301972,64,40
23,2,9,15448858785518039275880370067/15289746772329234375000000000,1768483018493925530648682383017/1750268929202968147294367470245,0.010352677449525281,0.010352677449526541,36,26
23,2,11,2168258879367290865340643772411/2145879344639765750000000000000,862233956007372558859676970164/853334467599719056741409090755,0.010375066496846563,0.010375066496847981,44,31
23,2,16,678745397818570915704385519189/671956503631579500000000000000,653842033199138576629807348979/647302225500017670309761281217,0.010052479157799443,0.010052479157800565,64,40
24,2,9,2472158995697738332963351788387/2449614512374185500000000000000,997908527385928392216442081349/988808250181574657053582294700,0.009161185886026560,0.009161185886027757,36,26
24,2,11,48673396246650786390327438153/48171017139401787500000000000,877598336969545780569490492354/868540266174241792838548226529,0.010375066482415760,0.010375066482417646,44,31
24,2,16,2470561183172946403117316382999/2444696324864389000000000000000,1092071520451008407405387880862/1080638379134102437706684591081,0.010524411795498450,0.010524411795499399,64,40
25,2,9,145421117400476591485172417143/144094973394629250000000000000,166320330292989330065078011301/164803599346264381227133688728,0.009161171506150037,0.009161171506151164,36,26
25,2,11,2196646500867592118810830693259/2173973965262054750000000000000,1102109471715917354579928101788/1090734124690889300253260438889,0.010375066495619225,0.010375066495620617,44,31
25,2,16,456770064434237000320199986049/452018329162588437500000000000,1865498066888544818622113186072/1846091469009572288998050592947,0.010457392739683548,0.010457392739684854,64,40
26,2,9,28925253029219848746394556479/28627343954072750000000000000,1995298097621476333435247975138/1974747977962892832452020389135,0.010352677430073056,0.010352677430074689,36,26
26,2,11,72071170622523592549779079021/71327293006645425000000000000,66343099412236501974925349305/65658343688214251744666069938,0.010375066367464306,0.010375066367467377,44,31
26,2,16,967711729415849665177894896949/958290924956329375000000000000,2186742137590555803477298639724/2165453907371342990761137501183,0.009782831370356601,0.009782831370358102,64,40
27,2,9,1969479980809907144696753320491/1948957880828180000000000000000,16453741607148377986040617802/16282292628927932743020308901,0.010474729137657396,0.010474729137659823,36,26
27,2,11,250487400466017628901031912977/247901237030058250000000000000,735388613306284834192800904080/727796075160990526568042129287,0.010378192653873411,0.010378192653874868,44,31
27,2,16,4017562100268364005767730883/3975703456552054687500000000,225242869433164318242527134962/222896082803378548188513120787,0.010473573300162087,0.010473573300164132,64,40
28,2,9,252302821192819257006458844637/249704285579574375000000000000,1995298451929592496214419681034/1974748328621893346082423540849,0.010352677430071750,0.010352677430074519,36,26
28,2,11,20809116312781833705093688823/20594336451330500000000000000,2199222672153416903325861625897/2176523546744823647754519234062,0.010375066508718335,0.010375066508720451,44,31
28,2,16,2074483315534728029375908686713/2053760035730741000000000000000,246778912198194632929779605331/244313687046027497894138891171,0.010039841217281649,0.010039841217282731,64,40
29,2,9,221951460431312733549763725331/219665521761686375000000000000,1791634469679085814597137651992/1773181937273501869999752779417,0.010352677449522643,0.010352677449524029,36,26
29,2,11,1098458135205881885994200171153/1088179593769626000000000000000,2199278258514218583153985977088/2178699073941324637605085421515,0.009401298628648692,0.009401298628650221,44,31
29,2,16,2470561183172946403117316382999/2444696324864389000000000000000,399601232979510492040988165789/395417718180792947002757026952,0.010524411795498450,0.010524411795499755,64,40
30,2,9,42050466963728035260099801367/41617377727363250000000000000,997649050439983353638954968350/987373990574705398674113321683,0.010352677449524211,0.010352677449526451,36,26
30,2,11,2199276408138911852963681826553/2178697238426960500000000000000,1100682220490464009116392564564/1090382866516321088842958935799,0.009401299754768929,0.009401299754770411,44,31
30,2,16,309290093449494989098862897699/306094916278481312500000000000,2184416132514724008977216378652/2161849627132146250265911344625,0.010384412468244988,0.010384412468246446,64,40
31,2,9,1109740318718738007533023787799/1098310800287665000000000000000,226815042536575671383568363269/224479012507397468609284159818,0.010352677449525175,0.010352677449526628,36,26
31,2,11,124856254940492665216829157943/123567559700660000000000000000,2198982221920902621294030256712/2176285578302861875478817357827,0.010375066508700756,0.010375066508706191,44,31
31,2,16,1093214339082353349075927640849/1082048575731356750000000000000,124855052253164114226859830995/123579820199580285112703091958,0.010266217791849339,0.010266217791850322,64,40
32,2,9,983605901496057955665543408011/973475475854642000000000000000,884227817996044791512141706297/875120914360495814338851308107,0.010352677449525215,0.010352677449526919,36,26
32,2,11,2449283322427133057810511088137/2424003213231776500000000000000,448967599606389693169763805573/444333611435522265625895413007,0.010375066508719094,0.010375066508722359,44,31
32,2,16,250126891239647355165150924841/247791960572799187500000000000,450172613860081514275971276411/445970259462007863380598633073,0.009378828593605383,0.009378828593608243,64,40
33,2,9,6297926872821500000000000000/6239277576155809909270672017,123167987696245042020541506799/122020988692289000000000000000,0.009356108809518998,0.009356108809520442,36,26
33,2,11,850839743637818437500000000/842961108502295357766284593,122788138621411529205831734297/121651140790266375000000000000,0.009302973188451506,0.009302973188453122,44,31
33,2,16,510591815266543875000000000000/506389568464086369418522922971,365549202079665690530296730423/362540677619126625000000000000,0.008264203822050552,0.008264203822052030,64,40
34,2,9,6342563842457654942163714349/6277240046325875000000000000,1110923833400286527329091310433/1099482125628233802790455587797,0.010352677449750887,0.010352677449752689,36,26
34,2,11,87369944169214135205824307039/86468160253868750000000000000,175519718956122025518165114207/173708102148011750616773542579,0.010375078668684440,0.010375078668686503,44,31
34,2,16,43929498189456799107169338727/43507584519681445000000000000,292821465085751921248576530132/290009109288047873293355818595,0.009650755293936570,0.009650755293938375,64,40
35,2,9,87550548227880929339369742953/86648853755367750000000000000,1113552272431338906923460178954/1102083652882635671305577344645,0.010352532964948545,0.010352532964949918,36,26
35,2,11,244635878739657932790460408103/242110886365188850000000000000,1099611767675866418611569205809/1088262200545473652558063574504,0.010375066482415896,0.010375066482417177,44,31
35,2,16,62352196748579264938440098393/61702554422340281250000000000,996948620327118979374016691909/986561495981497575690462043678,0.010473573300161753,0.010473573300163193,64,40
36,2,9,1969479980809907144696753320491/1948957880828180000000000000000,22131526249771620243020308901/21900914413717657743020308901,0.010474729137657396,0.010474729137658869,36,26
36,2,11,250863482445257156224178929249/248274211174353500000000000000,1900248823802143011358548575718/1880635528000454622848558263439,0.010375070968097128,0.010375070968099541,44,31
36,2,16,304114445619786734212831533417/300925667949845406250000000000,11463799088704906457847779300/11343595964278308714753020137,0.010540812496411725,0.010540812496413195,64,40
37,2,9,554964544984717784492661302473/549903636927172875000000000000,2222420222289809529992802483020/2202153225935026930097765972899,0.009161171506149730,0.009161171506151051,36,26
37,2,11,499717706925865194450819030123/494559905016120250000000000000,1974443165291788432452799538890/1954064086088702551693122461041,0.010375066508704276,0.010375066508706146,44,31
37,2,16,12508513069761363418824291681/12381055162715012500000000000,364356333727502719896923570633/360643654573953266104449088905,0.010241963221312543,0.010241963221315789,64,40
38,2,9,554871026019461420027820508771/549156257877956187500000000000,2222113139774768508885730602309/2199226990052542175444246229779,0.010352677449524982,0.010352677449526398,36,26
38,2,11,41613159090305770258101310683/41183651733548000000000000000,2199223222648470400818859973217/2176524091557980691619828634368,0.010375066508718035,0.010375066508720293,44,31
38,2,16,11911693190588821785847007401/11792806018478437500000000000,1958256761382054352673169724971/1938711965784840405898776170329,0.010030852616570091,0.010030852616571465,64,40
39,2,9,42050466963728035260099801367/41617377727363250000000000000,64440683978166218165218681502/63776991785663150975855603527,0.010352677449524211,0.010352677449526447,36,26
39,2,11,612252532070488495027839790483/606523534760330875000000000000,2201364444031402521855462127601/2180765736279415141581694703085,0.009401299651666558,0.009401299651667865,44,31
39,2,16,2098659761741099874414744285133/2078225644787192000000000000000,438849368134963538535257583005/434576403323278378847559454937,0.009784458029155410,0.009784458029156359,64,40
40,2,9,21759947093196119060416655397/21535835422896125000000000000,226815079035077057462302803747/224479048253656521790460831875,0.010352679126002669,0.010352679126005159,36,26
40,2,11,130882822959082244116968776941/129658120226675000000000000000,1976858716369653059843511959931/1958360763645343142340432101932,0.009401299755864051,0.009401299755865366,44,31
40,2,16,8943956317597036990934214999/8856754199750937500000000000,448495661954672629595977188053/444122902274451909124073474030,0.009797678057506705,0.009797678057508708,64,40
41,2,9,491802950869641652930261474849/486737738057149250000000000000,1995298097621469659200633800371/1974747977962886764340492816232,0.010352677430073062,0.010352677430074417,36,26
41,2,11,2446355610712219233968585618913/2421105690219201500000000000000,112240413540297801210365976434/111081930486735788267337603865,0.010375078681906274,0.010375078681908131,44,31
41,2,16,18653658072648558537676785797/18458334331792000000000000000,1863813522394569021438806724016/1844297402390900910437622830275,0.010526276372036708,0.010526276372038317,64,40
42,2,9,1109757501268507541409359655851/1098327805869664500000000000000,399059620175993341455581987340/394949596229882204418619606991,0.010352677449525369,0.010352677449526337,36,26
42,2,11,1097023091712966157229281844669/1085700243393223000000000000000,448437057479013422544204201643/443808545261590679750563724508,0.010375066510068214,0.010375066510071340,44,31
42,2,16,4468835419505658049238343699/4424185378405531250000000000,450710268110235505468818592523/446207029546662115545685976536,0.010041675895215802,0.010041675895220499,64,40
43,2,9,378454221855230522640705586811/374556418530390000000000000000,1541667972268373577553050978275/1525789913044588220224877481126,0.010352677449524521,0.010352677449526495,36,26
43,2,11,18728448636880567247340820163/18535144243606006250000000000,1977127751341437349638896454194/1956720963368256281996436478553,0.010375066508703906,0.010375066508706092,44,31
43,2,16,1173770572456500390082414999157/1161689071584749000000000000000,1732348115637399529786517468242/1714517233043834936769432866649,0.010346236274309885,0.010346236274311298,64,40
44,2,9,281077101804290625000000000000/278458120724565098550772929533,366710034056281355976661080319/363293154364645062500000000000,0.009361341700706440,0.009361341700708040,36,26
44,2,11,69468965416195875000000000000/68825694306630905675908669789,3842964984267961237755366549/3807379765247650000000000000,0.009302973089328536,0.009302973089329977,44,31
44,2,16,113739199909712718750000000000/112669821890202431803849491911,618522216810010747849558368607/612706859714475187500000000000,0.009446496109334847,0.009446496109336050,64,40
