N	num_bits	den_bits	v5_den	v239_den
948	130492	130493	10431	11381
949	130640	130640	10442	11393
950	130771	130774	10453	11405
951	130910	130910	10465	11417
952	131038	131039	10474	11429
953	131175	131175	10486	11441
954	131329	131329	10497	11453
955	131449	131450	10508	11465
956	131597	131602	10521	11477
957	131743	131744	10530	11489
958	131890	131892	10541	11501
959	132023	132026	10552	11513
960	132157	132159	10563	11525
961	132295	132296	10575	11537
962	132424	132427	10585	11549
963	132559	132561	10596	11561
964	132679	132681	10607	11573
965	132815	132815	10618	11585
966	132978	132978	10630	11597
967	133092	133096	10640	11609
968	133243	133244	10651	11621
969	133377	133378	10662	11633
970	133495	133498	10673	11645
971	133632	133634	10685	11657
972	133743	133752	10695	11669
973	133894	133900	10706	11681
974	134031	134033	10717	11693
975	134181	134181	10728	11705
976	134315	134317	10740	11717
977	134448	134448	10750	11729
978	134582	134582	10761	11741
979	134716	134716	10772	11753
980	134836	134837	10783	11765
981	134974	134975	10796	11777
982	135128	135131	10805	11789
983	135262	135265	10816	11801
984	135410	135413	10827	11813
985	135546	135547	10838	11825
986	135709	135710	10850	11837
987	135841	135841	10860	11849
988	135958	135962	10871	11861
989	136109	136109	10882	11873
990	136234	136236	10893	11885
991	136383	136386	10905	11897
992	136530	136531	10915	11909
993	136650	136651	10926	11921
994	136810	136812	10937	11933
995	136954	136960	10948	11945
996	137094	137096	10960	11957
997	137241	137241	10970	11969
998	137389	137389	10981	11981
999	137522	137523	10992	11993
1000	137642	137643	11003	12005
