N	num_bits	den_bits	lambda_bits	cancellation_g	g_factorization	v2_num	v3_g	u_num_mod_17	u_num_mod_19	u_num_mod_29	u_num_mod_31	u_num_mod_43	u_num_mod_59	u_num_mod_101	u_num_mod_251	u_num_mod_1009	u_lcd_mod_17	u_lcd_mod_19	u_lcd_mod_29	u_lcd_mod_31	u_lcd_mod_43	u_lcd_mod_59	u_lcd_mod_101	u_lcd_mod_251	u_lcd_mod_1009	code1	code2	code3	code4
747	71804	90154	90156	3	3	751	1	12	15	1	20	38	57	19	136	413	2	7	3	29	28	53	57	157	230	9	96	960	9605
748	71898	90273	90278	57	3*19	752	1	10	7	0	10	39	54	42	131	125	9	0	0	12	30	10	71	188	62	6	60	605	6051
749	71996	90395	90396	3	3	753	1	11	1	28	26	17	39	70	2	699	16	3	26	16	8	58	8	6	79	0	5	51	518
750	72094	90518	90519	3	3	754	1	7	4	13	25	41	38	92	15	0	4	12	10	13	37	55	74	45	0	5	51	518	5187
751	72183	90631	90637	87	3*29	755	1	10	10	0	13	23	46	32	233	658	3	15	0	15	23	49	57	191	742	1	18	187	1870
752	72286	90758	90760	3	3	756	1	1	5	18	5	29	0	85	5	455	3	15	25	15	1	0	53	15	356	8	87	870	8707
753	72382	90879	90880	3	3	757	1	1	16	13	15	9	25	92	79	518	3	10	10	14	27	16	74	237	545	7	70	707	7072
754	72475	90997	90998	3	3	758	1	16	5	4	26	29	29	26	72	643	14	15	12	16	1	28	78	216	920	0	7	72	721
755	72573	91119	91121	3	3	759	1	10	7	3	11	13	51	88	115	211	13	2	9	2	39	35	62	94	633	7	72	721	7211
756	72669	91240	91241	3	3	760	1	9	10	27	18	1	32	93	123	47	10	11	23	23	3	37	77	118	141	2	21	211	2113
757	72765	91360	91362	3	3	761	1	16	1	3	25	41	13	60	51	582	14	3	9	13	37	39	79	153	737	1	11	113	1134
758	72861	91480	91482	3	3	762	1	7	12	6	15	35	19	37	210	120	4	17	18	14	19	57	10	128	360	1	13	134	1349
759	72950	91594	91595	3	3	763	1	15	17	23	22	37	37	47	19	400	11	13	11	4	25	52	40	57	191	3	34	349	3499
760	73048	91717	91718	3	3	764	1	2	4	3	14	13	30	83	112	918	6	12	9	11	39	31	47	85	736	4	49	499	4999
761	73148	91842	91843	3	3	765	1	15	11	9	7	30	52	77	163	785	11	14	27	21	4	38	29	238	337	9	99	999	9999
762	73244	91962	91963	3	3	766	1	10	11	17	14	6	5	95	171	627	13	14	22	11	18	15	83	11	872	9	99	999	9999
763	73340	92082	92084	3	3	767	1	8	10	28	21	18	49	100	9	283	7	11	26	1	11	29	98	27	849	9	99	999	9999
764	73431	92198	92200	3	3	768	1	3	1	24	13	30	8	78	178	80	9	3	14	8	4	24	32	32	240	9	99	999	9998
765	73531	92323	92325	3	3	769	1	12	18	2	10	6	33	61	78	100	2	16	6	30	18	40	82	234	300	9	99	998	9983
766	73627	92443	92445	3	3	770	1	4	6	8	9	31	13	22	62	966	12	18	24	27	7	39	66	186	880	9	98	983	9837
767	73723	92564	92565	3	3	771	1	8	10	22	0	42	37	0	183	319	7	11	8	0	40	52	0	47	957	8	83	837	8372
768	73817	92682	92683	3	3	772	1	10	14	2	25	26	22	2	215	343	13	4	6	13	35	7	6	143	20	3	37	372	3729
769	73912	92802	92804	3	3	773	1	14	15	25	20	14	52	50	2	270	8	7	17	29	42	38	49	6	810	7	72	729	7297
770	74011	92925	92926	3	3	774	1	1	7	5	0	32	57	84	27	18	3	2	15	0	10	53	50	81	54	2	29	297	2978
771	74106	93045	93047	3	3	775	1	8	1	7	15	0	58	74	143	317	7	3	21	14	0	56	20	178	951	9	97	978	9780
772	74200	93163	93165	3	3	776	1	10	13	15	3	39	15	30	25	663	13	1	16	9	31	45	90	75	980	7	78	780	7804
773	74298	93286	93287	3	3	777	1	3	5	7	16	27	54	100	40	274	9	15	21	17	38	44	98	120	822	8	80	804	8049
774	74392	93404	93406	3	3	778	1	9	18	24	29	3	44	49	242	67	10	16	14	25	9	14	46	224	201	0	4	49	499
775	74490	93527	93528	3	3	779	1	7	3	22	3	29	38	18	98	181	4	9	8	9	1	55	54	43	543	4	49	499	4995
776	74575	93637	93638	3	3	780	1	4	4	25	22	17	5	2	219	797	12	12	17	4	8	15	6	155	373	9	99	995	9951
