stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
pi,10000,1,0123,0,10000,10000,0,0,true,10000,0/10000
pi,10000,2,0,968,10000,9999,1851,2904,true,8148,1851/9999
pi,10000,2,1,1026,10000,9999,1952,3078,true,8047,1952/9999
pi,10000,2,00,85,10000,9999,85,255,true,9914,85/9999
pi,10000,2,01,103,10000,9999,103,309,true,9896,103/9999
pi,10000,2,11,99,10000,9999,99,297,true,9900,99/9999
pi,10000,2,000,7,10000,9999,0,21,true,9999,0/9999
pi,10000,2,001,8,10000,9999,0,24,true,9999,0/9999
pi,10000,2,012,12,10000,9999,0,36,true,9999,0/9999
pi,10000,2,123,11,10000,9999,0,33,true,9999,0/9999
pi,10000,2,0000,0,10000,9999,0,0,true,9999,0/9999
pi,10000,2,0123,0,10000,9999,0,0,true,9999,0/9999
pi,10000,4,0,968,10000,9997,3374,4840,true,6623,3374/9997
pi,10000,4,1,1026,10000,9997,3507,5130,true,6490,3507/9997
pi,10000,4,00,85,10000,9997,241,425,true,9756,241/9997
pi,10000,4,01,103,10000,9997,307,515,true,9690,307/9997
pi,10000,4,11,99,10000,9997,279,495,true,9718,279/9997
pi,10000,4,000,7,10000,9997,14,35,true,9983,14/9997
pi,10000,4,001,8,10000,9997,16,40,true,9981,16/9997
pi,10000,4,012,12,10000,9997,24,60,true,9973,24/9997
pi,10000,4,123,11,10000,9997,22,55,true,9975,22/9997
pi,10000,4,0000,0,10000,9997,0,0,true,9997,0/9997
pi,10000,4,0123,0,10000,9997,0,0,true,9997,0/9997
pi,10000,8,0,968,10000,9993,5565,8712,true,4428,5565/9993
pi,10000,8,1,1026,10000,9993,5709,9234,true,4284,5709/9993
pi,10000,8,00,85,10000,9993,543,765,true,9450,543/9993
pi,10000,8,01,103,10000,9993,704,927,true,9289,704/9993
pi,10000,8,11,99,10000,9993,633,891,true,9360,633/9993
pi,10000,8,000,7,10000,9993,42,63,true,9951,42/9993
pi,10000,8,001,8,10000,9993,48,72,true,9945,48/9993
pi,10000,8,012,12,10000,9993,72,108,true,9921,72/9993
pi,10000,8,123,11,10000,9993,66,99,true,9927,66/9993
pi,10000,8,0000,0,10000,9993,0,0,true,9993,0/9993
pi,10000,8,0123,0,10000,9993,0,0,true,9993,0/9993
pi,10000,16,0,968,10000,9985,7926,16456,true,2059,7926/9985
pi,10000,16,1,1026,10000,9985,8127,17442,true,1858,8127/9985
pi,10000,16,00,85,10000,9985,1114,1445,true,8871,1114/9985
pi,10000,16,01,103,10000,9985,1443,1751,true,8542,1443/9985
pi,10000,16,11,99,10000,9985,1301,1683,true,8684,1301/9985
pi,10000,16,000,7,10000,9985,98,119,true,9887,98/9985
pi,10000,16,001,8,10000,9985,106,136,true,9879,106/9985
pi,10000,16,012,12,10000,9985,168,204,true,9817,168/9985
pi,10000,16,123,11,10000,9985,154,187,true,9831,154/9985
pi,10000,16,0000,0,10000,9985,0,0,true,9985,0/9985
