stream,N,L,sample_size,support_size,max_count,sum_squared_counts,collision_pairs,count_spectrum,exact_entropy_expression,entropy_nats,entropy_nats_per_digit,normalized_entropy_H_over_L_log10
iid,10000,2,9999,100,126,1007727,498864,78:1;83:1;84:1;87:1;88:5;89:3;90:3;91:2;92:4;93:1;94:3;95:6;96:8;97:1;98:6;99:5;100:5;101:5;102:6;103:4;104:1;105:3;106:1;107:4;108:4;109:3;110:1;112:3;113:2;114:2;116:1;119:1;122:1;123:1;126:1,ln(9999)-(78*ln(78)+83*ln(83)+84*ln(84)+87*ln(87)+440*ln(88)+267*ln(89)+270*ln(90)+182*ln(91)+368*ln(92)+93*ln(93)+282*ln(94)+570*ln(95)+768*ln(96)+97*ln(97)+588*ln(98)+495*ln(99)+500*ln(100)+505*ln(101)+612*ln(102)+412*ln(103)+104*ln(104)+315*ln(105)+106*ln(106)+428*ln(107)+432*ln(108)+327*ln(109)+110*ln(110)+336*ln(112)+226*ln(113)+228*ln(114)+116*ln(116)+119*ln(119)+122*ln(122)+123*ln(123)+126*ln(126))/9999,4.601240752728866106340619918644,2.300620376364433053170309959322,0.999146734409255679368447399988
iid,10000,4,9997,6318,6,20073,5038,1:3697;2:1814;3:601;4:166;5:35;6:5,ln(9997)-(3697*ln(1)+3628*ln(2)+1803*ln(3)+664*ln(4)+175*ln(5)+30*ln(6))/9997,8.634723751786976655105506510135,2.158680937946744163776376627534,0.937503219540006964763090367559
iid,10000,8,9993,9993,1,9993,0,1:9993,ln(9993)-(9993*ln(1))/9993,9.209640126861789344105012546627,1.151205015857723668013126568328,0.499961985926354904815812856800
iid,10000,16,9985,9985,1,9985,0,1:9985,ln(9985)-(9985*ln(1))/9985,9.208839245849915590421084262633,0.575552452865619724401317766415,0.249959254325420085912194583048
iid,10000,32,9969,9969,1,9969,0,1:9969,ln(9969)-(9969*ln(1))/9969,9.207235557022703971125245914543,0.287726111156959499097663934829,0.124957862374949170964115469916
champernowne,1000,1,1000,10,177,120172,59586,66:1;67:3;77:3;148:1;177:2,ln(1000)-(66*ln(66)+201*ln(67)+231*ln(77)+148*ln(148)+354*ln(177))/1000,2.210731375214383273314955147308,2.210731375214383273314955147308,0.960108437225994002527484933897
champernowne,1000,2,999,100,26,14193,6597,3:4;4:25;5:20;6:3;11:3;12:4;14:11;15:20;16:1;22:2;23:1;25:5;26:1,ln(999)-(12*ln(3)+100*ln(4)+100*ln(5)+18*ln(6)+33*ln(11)+48*ln(12)+154*ln(14)+300*ln(15)+16*ln(16)+44*ln(22)+23*ln(23)+125*ln(25)+26*ln(26))/999,4.402452636390134137160428008548,2.201226318195067068580214004274,0.955980443412329204292695232795
champernowne,1000,4,997,910,3,1181,92,1:828;2:77;3:5,ln(997)-(828*ln(1)+154*ln(2)+15*ln(3))/997,6.781156135923470002235525455387,1.695289033980867500558881363847,0.736254672688985133425121960724
champernowne,1000,8,993,993,1,993,0,1:993,ln(993)-(993*ln(1))/993,6.900730664045172592179862076499,0.862591333005646574022482759562,0.374618656061922646987896063824
champernowne,1000,16,985,985,1,985,0,1:985,ln(985)-(985*ln(1))/985,6.892641641172088881380556662389,0.430790102573255555086284791399,0.187089764406100733259875338937
champernowne,1000,32,969,969,1,969,0,1:969,ln(969)-(969*ln(1))/969,6.876264611890766231653807286684,0.214883269121586444739181477709,0.093322618032836416480360352292
champernowne,3000,1,3000,10,341,906750,451875,230:1;302:3;303:4;311:1;341:1,ln(3000)-(230*ln(230)+906*ln(302)+1212*ln(303)+311*ln(311)+341*ln(341))/3000,2.298635301145998986783985761802,2.298635301145998986783985761802,0.998284627195726872055403652705
champernowne,3000,2,2999,100,49,92053,44527,20:8;21:8;29:1;31:53;32:17;33:4;34:6;35:2;49:1,ln(2999)-(160*ln(20)+168*ln(21)+29*ln(29)+1643*ln(31)+544*ln(32)+132*ln(33)+204*ln(34)+70*ln(35)+49*ln(49))/2999,4.592783120224540975974627469958,2.296391560112270487987313734979,0.997310182845958686986102750455
champernowne,3000,4,2997,2098,4,4857,930,1:1229;2:840;3:28;4:1,ln(2997)-(1229*ln(1)+1680*ln(2)+84*ln(3)+4*ln(4))/2997,7.584173916488064979594225627423,1.896043479122016244898556406856,0.823441220431335118574753722272
champernowne,3000,8,2993,2993,1,2993,0,1:2993,ln(2993)-(2993*ln(1))/2993,8.004031507852698932958872230476,1.000503938481587366619859028809,0.434513339605023924447974843805
champernowne,3000,16,2985,2985,1,2985,0,1:2985,ln(2985)-(2985*ln(1))/2985,8.001355025826702461406125862017,0.500084689114168903837882866376,0.217184020966586743261331924559
champernowne,3000,32,2969,2969,1,2969,0,1:2969,ln(2969)-(2969*ln(1))/2969,7.995980474763759802488748395275,0.249874389836367493827773387352,0.108519068674876394960113157808
champernowne,10000,1,10000,10,1858,11441232,5715616,747:3;833:1;858:4;1636:1;1858:1,ln(10000)-(2241*ln(747)+833*ln(833)+3432*ln(858)+1636*ln(1636)+1858*ln(1858))/10000,2.240099027823686220965565074941,2.240099027823686220965565074941,0.972862646700665907842353074308
champernowne,10000,2,9999,100,269,1301787,645894,47:3;58:26;59:2;66:1;69:30;70:4;135:1;136:2;146:1;147:5;158:5;169:15;170:1;247:1;248:1;269:2,ln(9999)-(141*ln(47)+1508*ln(58)+118*ln(59)+66*ln(66)+2070*ln(69)+280*ln(70)+135*ln(135)+272*ln(136)+146*ln(146)+735*ln(147)+790*ln(158)+2535*ln(169)+170*ln(170)+247*ln(247)+248*ln(248)+538*ln(269))/9999,4.471083811261005655813722809215,2.235541905630502827906861404608,0.970883513678807515466281940494
champernowne,10000,4,9997,6361,7,20287,5145,1:3815;2:1778;3:527;4:174;5:55;6:10;7:2,ln(9997)-(3815*ln(1)+3556*ln(2)+1581*ln(3)+696*ln(4)+275*ln(5)+60*ln(6)+14*ln(7))/9997,8.635473755600298035540552734711,2.158868438900074508885138183678,0.937584650169389932792432819384
champernowne,10000,8,9993,9989,2,10001,4,1:9985;2:4,ln(9993)-(9985*ln(1)+8*ln(2))/9993,9.209085220683016246689287753575,1.151135652585377030836160969197,0.499931861839928007868428313731
champernowne,10000,16,9985,9985,1,9985,0,1:9985,ln(9985)-(9985*ln(1))/9985,9.208839245849915590421084262633,0.575552452865619724401317766415,0.249959254325420085912194583048
champernowne,10000,32,9969,9969,1,9969,0,1:9969,ln(9969)-(9969*ln(1))/9969,9.207235557022703971125245914543,0.287726111156959499097663934829,0.124957862374949170964115469916
t4_balanced,1000,1,1000,10,412,214564,106782,49:1;50:1;51:1;52:1;53:1;59:1;64:1;72:1;138:1;412:1,ln(1000)-(49*ln(49)+50*ln(50)+51*ln(51)+52*ln(52)+53*ln(53)+59*ln(59)+64*ln(64)+72*ln(72)+138*ln(138)+412*ln(412))/1000,1.929755866471560202447479384073,1.929755866471560202447479384073,0.838082324229027052693107636374
t4_balanced,1000,2,999,100,360,135879,67440,2:1;3:5;4:36;5:22;6:8;7:3;8:4;9:7;10:1;11:4;12:2;13:2;17:1;23:1;27:1;33:1;360:1,ln(999)-(2*ln(2)+15*ln(3)+144*ln(4)+110*ln(5)+48*ln(6)+21*ln(7)+32*ln(8)+63*ln(9)+10*ln(10)+44*ln(11)+24*ln(12)+26*ln(13)+17*ln(17)+23*ln(23)+27*ln(27)+33*ln(33)+360*ln(360))/999,3.478450115696526255497529802049,1.739225057848263127748764901024,0.755335845411364624015170641667
t4_balanced,1000,4,997,282,348,122907,60955,1:44;2:154;3:55;4:15;5:8;6:4;8:1;348:1,ln(997)-(44*ln(1)+308*ln(2)+165*ln(3)+60*ln(4)+40*ln(5)+24*ln(6)+8*ln(8)+348*ln(348))/997,4.258291632586023101193530115458,1.064572908146505775298382528865,0.462338139591724822597922392506
t4_balanced,1000,8,993,306,332,111897,55452,1:62;2:162;3:54;4:22;5:5;332:1,ln(993)-(62*ln(1)+324*ln(2)+162*ln(3)+88*ln(4)+25*ln(5)+332*ln(332))/993,4.391073525540305391649586468018,0.548884190692538173956198308502,0.238377375221701545242840731713
t4_balanced,1000,16,985,335,306,95251,47133,1:91;2:162;3:60;4:21;306:1,ln(985)-(91*ln(1)+324*ln(2)+180*ln(3)+84*ln(4)+306*ln(306))/985,4.567569899047031670155842902353,0.285473118690439479384740181397,0.123979400178969929563713046740
t4_balanced,1000,32,969,383,262,70175,34603,1:139;2:166;3:72;4:5;262:1,ln(969)-(139*ln(1)+332*ln(2)+216*ln(3)+20*ln(4)+262*ln(262))/969,4.859693646456278384307009322694,0.151865426451758699509594041334,0.065954316699882939940323242343
t4_balanced,3000,1,3000,10,1224,1925908,961454,135:1;136:1;148:2;149:1;155:1;169:1;340:1;396:1;1224:1,ln(3000)-(135*ln(135)+136*ln(136)+296*ln(148)+149*ln(149)+155*ln(155)+169*ln(169)+340*ln(340)+396*ln(396)+1224*ln(1224))/3000,1.920782978130736727945123838582,1.920782978130736727945123838582,0.834185448335873392928332092354
